NIT;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;INGRESOS OPERACIONALES;GANANCIA (PÉRDIDA);TOTAL ACTIVOS;TOTAL PASIVOS;TOTAL PATRIMONIO;Año de Corte
899999068;ECOPETROL S.A;SUPERFINANCIERA;Región Andina;BOGOTA D.C.;BOGOTA D.C.;610;MINERO;14482;3341;21685;12581;9103;2022
900112515;REFINERIA DE CARTAGENA S.A.S;SUPERSOCIEDADES;Región Caribe;BOLIVAR;CARTAGENA;1921;MANUFACTURA;2786;219;4284;1648;2636;2022
830095213;ORGANIZACIÓN TERPEL S.A.;SUPERFINANCIERA;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4661;COMERCIO;2360;33;748;447;301;2022
860069804;CARBONES DEL CERREJON LIMITED;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;510;MINERO;1639;605;1045;900;145;2022
800021308;DRUMMOND LTD;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;510;MINERO;1527;216;1427;634;793;2022
890900608;ALMACENES EXITO S A;SUPERFINANCIERA;Región Andina;ANTIOQUIA;ENVIGADO;4711;COMERCIO;1513;10;1485;762;723;2022
890904996;EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.;SUPERFINANCIERA;Región Andina;ANTIOQUIA;MEDELLIN;3513;SERVICIOS;1507;304;5947;3024;2923;2022
900156264;NUEVA EPS S.A.;SUPERSALUD;Región Andina;BOGOTA D.C.;BOGOTA D.C.;8430;SERVICIOS;1478;1;591;543;49;2022
800153993;COMUNICACIÓN CELULAR S.A.;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;6120;SERVICIOS;1463;179;2343;1467;876;2022
900276962;D1 SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4711;COMERCIO;1396;29;490;475;15;2022
890100577;AVIANCA;SUPERTRANSPORTE;Región Andina;BOGOTA D.C.;BOGOTA D.C.;5111;SERVICIOS;1144;80;1789;1933;145;2022
890900943;COLOMBIANA DE COMERCIO SA;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4741;COMERCIO;1114;34;614;396;218;2022
860063875;EMGESA S.A. E.S.P.;SUPERSERVICIOS;Región Andina;BOGOTA D.C.;BOGOTA D.C.;3511;SERVICIOS;1087;286;2706;1189;1517;2022
900818921;KOPPS COMMERCIAL SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4632;COMERCIO;966;88;505;398;107;2022
800088702;EPS SURA;SUPERSALUD;Región Andina;ANTIOQUIA;MEDELLIN;8430;SERVICIOS;930;14;210;187;24;2022
800251440;E.P.S. SANITAS S.A.;SUPERSALUD;Región Andina;BOGOTA D.C.;BOGOTA D.C.;8430;SERVICIOS;872;30;247;239;8;2022
900480569;JERONIMO MARTINS COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4711;COMERCIO;862;23;520;510;10;2022
900531210;CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4930;SERVICIOS;853;458;1956;235;1721;2022
830122566;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.  TELEFONICA;SUPERFINANCIERA;Región Andina;BOGOTA D.C.;BOGOTA D.C.;6110;SERVICIOS;786;7;1483;1007;475;2022
